Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
,,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Royalties,,,,,76.1,,,,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,86.2,,,,,,,,,,,,,,,,,,,
,Revenue,,,1950,,2098.9,2208,2437.8999999999996,2545.8000000000006,2563.7,2579.3849999999998,2523.42,2689.3100000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3745.8,3971.4,4053.7,4380.8,4369.7,4119.1,4447.1,4598.5,4630,4871,4971,5214,5198.3,5569,5805.6,5823.200000000001,5741.264999999999,5823.5,6087.18,6147.63,5119.8,5352.2,5266.1,5417.7,5280.1,0,0,0,,,,,,,,,9291.0,10355.815,,,,,,,,,,,,,,,,,,,
,COGS,,,521.9,,486.6,517.2,619.7,761.9,639.6,644.84625,630.855,672.3275000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1410.7,1433.9,1633.5,1596.8,1553.1,1727.6999999999998,1747.5,1666.6999999999998,1764,1807.8999999999999,1958.8,1936.7,2055.4,2141,2154.5840000000003,2124.2680499999997,2154.695,2252.2566,2274.6231,2110.6,2119.2,2122,2319.3,2135.5,,,,,,,,,,,,2385.4,2587.62875,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,1428.1,,1612.3000000000002,1690.8,1818.1999999999996,1783.9000000000005,1924.1,1934.5387499999997,1892.565,2016.9825000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405.8,2560.7,2619.7999999999997,2747.3,2772.8999999999996,2566.0000000000005,2719.4000000000005,2851,2963.3,3107,3163.1000000000004,3255.2,3261.6000000000004,3513.6,3664.6000000000004,3668.6160000000004,3616.9969499999997,3668.805,3834.9234,3873.0069000000003,3009.2000000000003,3233,3144.1000000000004,3098.3999999999996,3144.6000000000004,,,,,,,,,,,,6905.6,7768.186250000001,,,,,,,,,,,,,,,,,,,
,Selling,,,446.2,,468.2,540.2,573.3,652.8,591.6,590.2,598.3,677.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.1999999999999,931.9000000000001,882.8000000000001,971.0000000000001,899.9000000000001,869.7,833.3,968.4,861.4,889.7,921.5999999999999,1042.4,942.4000000000001,1039.8999999999999,1063.6,1094.5200000000002,989.5200000000001,1091.895,1116.78,1149.2460000000003,1087.1,1145.9,1100.8,1202.6,1112.2,,,,,,,,,,,,2234.5,2457.9,,,,,,,,,,,,,,,,,,,
,Royalties,,,105.2,,122.2,117.3,115.8,121.69999999999997,111.3,117.3,115.8,121.69999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.0,466.09999999999997,,,,,,,,,,,,,,,,,,,
,Administration,,,102,,104.4,115.2,128,130.6,124.9,130,130,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,269.1,267.5,334.3,288.5,298.3,279.7,321.6,270.8,301.1,304.9,350.3,287.2,330.5,297,367.81500000000005,301.56,347.02500000000003,311.85,386.2057500000001,331.7,336.1,309.1,392.6,355,,,,,,,,,,,,478.20000000000005,514.9,,,,,,,,,,,,,,,,,,,
,Other,,,76.8,,134.9,109.4,91,55.099999999999966,97.1,109.4,91,55.099999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.4,352.59999999999997,,,,,,,,,,,,,,,,,,,
,R&D,,,332.8,,347.2,338.8,348.6,362.50000000000006,379.5,380,380,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.6,553.2,558.3,630.1,579.2,520,531,658,576.3,591.1,666.5,591.9,585.5,599.6,620,621.495,614.775,629.58,651,652.56975,580.6,647.4,523.7,527.5,551.4,,,,,,,,,,,,1397.1,1519.5,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,1063,,1176.8999999999999,1220.9,1256.6999999999998,1322.6999999999998,1304.4,1326.9,1315.1,1364.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.7999999999997,1754.2,1708.6000000000001,1935.4,1767.6000000000001,1688,1644,1948,1708.5,1781.9,1893,1984.6,1815.1000000000001,1970,1980.6,2083.8300000000004,1905.855,2068.5,2079.63,2188.0215000000003,1999.4,2129.4,1933.6000000000001,2122.7,2018.6,,,,,,,,,,,,4977.2,5311.0,,,,,,,,,,,,,,,,,,,
,Operating Income,,,365.0999999999999,,435.4000000000003,469.89999999999986,561.4999999999998,461.2000000000007,619.6999999999998,607.6387499999996,577.4650000000001,652.3825000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0000000000005,806.4999999999998,911.1999999999996,811.9000000000001,1005.2999999999995,878.0000000000005,1075.4000000000005,903,1254.8000000000002,1325.1,1270.1000000000004,1270.6,1446.5000000000002,1543.6,1684.0000000000005,1584.786,1711.1419499999997,1600.3049999999998,1755.2934,1684.9854,1009.8000000000002,1103.6,1210.5000000000002,975.6999999999998,1126.0000000000005,,,,,,,,,,,,1928.4000000000005,2457.1862500000007,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,31.7,,38.6,78.3,74.2,60.49999999999998,68.3,68,68,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-112.6,-61.1,-134.9,-76.1,-98.5,-102.3,-101.6,-52,-59.1,-94.8,-54.2,-46.8,-34.3,-55.1,-47,-45.8,-45.55,-48.3625,-46.678124999999994,-46.59765624999999,-32.2,-7.2,-54.1,-15,-49.8,,,,,,,,,,,,251.6,271.3,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,333.3999999999999,,396.8000000000003,391.59999999999985,487.2999999999998,400.7000000000007,551.3999999999999,539.6387499999996,509.46500000000015,585.3825000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.4000000000004,745.3999999999997,776.2999999999996,735.8000000000001,906.7999999999995,775.7000000000005,973.8000000000005,851,1195.7000000000003,1230.3,1215.9000000000003,1223.8,1412.2000000000003,1488.5,1637.0000000000005,1538.986,1665.5919499999998,1551.9424999999999,1708.615275,1638.38774375,977.6000000000001,1096.3999999999999,1156.4000000000003,960.6999999999998,1076.2000000000005,,,,,,,,,,,,1676.8000000000006,2185.8862500000005,,,,,,,,,,,,,,,,,,,
,Taxes,,,42.3,,64.6,59.9,74.8,20.30000000000001,120.1,120.1,120.1,120.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,136.2,133.7,102.6,159.4,99.9,258.5,118.8,236.2,207.8,229.4,185.4,255.4,251.7,264,230.8479,249.83879249999995,232.79137499999996,256.29229125,245.7581615625,199.6,179.8,231.3,139.9,217.9,,,,,,,,,,,,219.60000000000002,480.4,,,,,,,,,,,,,,,,,,,
,Net Income,,,291.0999999999999,,332.2000000000003,331.6999999999999,412.4999999999998,380.4000000000007,431.29999999999984,419.5387499999996,389.3650000000001,465.28250000000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.2000000000004,609.1999999999998,642.5999999999997,633.2,747.3999999999995,675.8000000000005,715.3000000000005,732.2,959.5000000000002,1022.5,986.5000000000003,1038.3999999999999,1156.8000000000002,1236.8,1373.0000000000005,1308.1381000000001,1415.7531574999998,1319.1511249999999,1452.32298375,1392.6295821875,778.0000000000001,916.5999999999999,925.1000000000004,820.7999999999998,858.3000000000005,,,,,,,,,,,,1457.2000000000007,1705.4862500000004,,,,,,,,,,,,,,,,,,,
