Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
x,,,84.0,Scholar Rock,SRRK,26.93,2155.26176,140.421,2014.8407599999998,Q224,80.032,2024-10-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,85.0,Arcellx,ACLX,71.82,3860.73286578,649.442,3211.29086578,Q224,53.755679,2024-10-26 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,86.0,Amphastar,AMPH,21.39,1041.17583258,-356.948,1398.12383258,Q224,48.675822,2024-10-11 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,87.0,Edgewise,EWTX,13.72,1286.55579136,511.75100000000003,774.8047913600001,Q224,93.772288,2024-09-19 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,88.0,Akero,AKRO,48.93,3863.44473837,1071.1729999999998,2792.27173837,Q324,78.958609,2025-01-27 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,89.0,Avidity,RNA,37.25,4362.77203825,1590.0459999999998,2772.7260382500003,Q224,117.121397,2024-09-23 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,90.0,Sarepta,SRPT,16.82,1631.54,-352,1983.54,Q424,97,2025-05-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,91.0,Biohaven,BHVN,18.25,1930.6345952499998,147.91000000000003,1782.7245952499998,Q225,105.788197,2025-10-30 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,92.0,Moderna,MRNA,27.4,10544.008021399999,9519,1025.008021399999,Q424,384.817811,2025-02-19 00:00:00,,,,,,,,,,,,,,,,,,,"Cambridge, MA"
x,,,93.0,Denali,DNLI,14.17,2426.2161650999997,1053.77,1372.4461650999997,Q125,171.22203,2025-07-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,94.0,Acadia,ACAD,24.05,3996.4847000000004,501,3495.4847000000004,Q224,166.174,2024-09-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,95.0,Arrowhead,ARWR,16.52,2053.68832648,436.771,1616.91732648,Q224,124.315274,2024-09-27 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,96.0,CRISPR,CRSP,57.05,4858.8434139,2012.8349999999998,2846.0084139,Q224,85.168158,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,
x,7,3,97.0,Crinetics,CRNX,28.29,2650.2108777,1274.124,1376.0868776999998,Q115,93.68013,2025-05-14 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,98.0,Protagonist,PTGX,53.23,3135.4910595499996,595.444,2540.0470595499996,Q224,58.904585,2024-09-18 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,99.0,SK Bioscience,302440 KS,44550,2388.4458129797626,792.4563852058618,1595.9894277739008,Q224,76.827,2024-09-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,100.0,SK Biopharmaceuticals,326030 KS,96100,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,101.0,Janux,JANX,24.25,1272.688985,658,614.688985,Q324,52.48202,2024-12-02 00:00:00,,,,,,,,,,,,,,,,,,2017,
x,,,102.0,Structure,GPCR,16.66,952.8940287533334,927.1189999999999,25.77502875333346,Q224,57.19652033333333,2024-10-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,103.0,BioCryst,BCRX,8.56,1766.58787328,28.069999999999993,1738.51787328,Q124,206.377088,2024-10-02 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,104.0,Recursion,RXRX,5.8,1949.008684,575.553,1373.455684,Q224,336.03598,2024-10-07 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,105.0,Rocket,RCKT,3.73,402.48143883,271.494,130.98743882999997,Q224,107.903871,2024-10-08 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,106.0,Sana,SANA,4.24,943.4000000000001,251.643,691.7570000000001,Q224,222.5,2024-10-28 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,107.0,Beam,BEAM,18.23,1502.43673437,1008.165,494.2717343700001,Q224,82.415619,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,108.0,Intellia,NTLA,11.89,1147.08775,939.9,207.18774999999994,Q124,96.475,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,109.0,Shanghai Junshi,1877 HK,24.06,3040.474140546154,376.08884615384613,2664.385294392308,Q423,985.689871,2024-09-08 00:00:00,,,,,,,,,,,,,,,,,,,2012
x,,,110.0,Shanghai Junshi,688180 CH,37.66,,,,Q423,,2024-09-08 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,111.0,Iovance,IOVA,2.81,852.87398032,417.97200000000004,434.90198031999995,Q224,303.513872,2024-08-21 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,112.0,Xencor,XNCR,8.06,498.37825180000004,637.7929999999999,-139.41474819999985,Q224,61.83353,2024-09-28 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,113.0,Replimmune,REPL,5.96,407.068,437.42699999999996,-30.35899999999998,Q224,68.3,2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,2015,
x,,,114.0,Nuvation,NUVB,2.35,585.72605315,565.535,20.191053150000016,Q224,249.245129,2024-08-01 00:00:00,,,,,,,,,,,,,,,,,,2018,
x,,,115.0,AbCellera,ABCL,4.37,1287.68837484,851.523,436.16537484,Q224,294.665532,2024-09-01 00:00:00,,,,,,,,,,,,,,,,,,,
x,,,116.0,Immunovant,IMVT,15.84,3500,,,,,,,,,,,,,,,,,,,,,,,,
x,,,117.0,Harmony,HRMY,33.97,3280,,,,,,,,,,,,,,,,,,,,,,,,
x,,,118.0,Zai Lab,ZLAB,39.39,2880,,,,,,,,,,,,,,,,,,,,,,,,
x,,,119.0,Bausch Health,BHC,5.88,2230,,,,,,,,,,,,,,,,,,,,,,,,
,,,120.0,Bausch + Lomb,BLCO,13.98,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,121.0,Telix,TLX,12.17,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,122.0,Geron,GERN,1.23,2400,,,,,,,,,,,,,,,,,,,,,,,,
x,,,123.0,Corcept,CORT,70.53,2150,,,,,,,,,,,,,,,,,,,,,,,,
x,,,124.0,Immunocore,IMCR,32.97,2590,,,,,,,,,,,,,,,,,,,,,,,,
x,,,125.0,PTC,PTCT,51.8,2540,,,,,,,,,,,,,,,,,,,,,,,,
x,,,126.0,Xenon,XENE,34.1,2360,,,,,,,,,,,,,,,,,,,,,,,,
x,,,127.0,Supernus,SUPN,36.7,1990,,,,,,,,,,,,,,,,,,,,,,,,
x,,,128.0,Alteogen,196170 KS,432000,12895,,,,,,,,,,,,,,,,,,,,,,,,
x,,,129.0,CSPC,1093 HK,9.66,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,130.0,Divi Labs,DIVI IN,6489.5,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,131.0,Laurus Labs,LAURUS,861.2,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,132.0,Ono,4528 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,133.0,Shionogi,4507 JP,2547,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,134.0,Cipla,CIPLA,1515,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,135.0,Swedish Orphan,SOBI SS,269.8,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,136.0,Sandoz,SDZ SW,46.22,,,,,,,,,,,,,,,,,,,,,,,,,
,,,137.0,Celltrion Health,091990 KS,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,138.0,Dr. Reddy's,RDY,13.71,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,139.0,Zydus Lifesciences,ZYDUS,958.85,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,140.0,Alkem Labs,ALKEM,4902.5,,,,,,,,,,,,,,,,,,,,,,,,,
