Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,Goodwill,,,,,,,,,24161,,,,,,,,,23398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,2670,,,,,,,,,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,,10769,,,,,,,,,10919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,16551,,,,,,,,,22524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,375633,0,0,0,0,0,0,0,0,415527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,83627,,,,,,,,,74548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,35693,,,,,,,,,37988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,13621,,,,,,,,,15136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Related,,,,,,,,,1553,,,,,,,,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,,11196,,,,,,,,,8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,3006,,,,,,,,,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,1707,,,,,,,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,225230,,,,,,,,,272938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,375633,,,,,,,,,415527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,9746,,,5284,7970,,,,,,,,,,,,,,,,,,,,26241.0,33263.0,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,,,2693,,,2016,2090,,,,,,,,,,,,,,,,,,,,8112.0,11154.0,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,7053,,,3268,5880,,,,,,,,,,,,,,,,,,,,18129.0,22109.0,,,,,,,,,,,,,,,,,
