Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.38182481231022947,0.3577869117045771,0.3193064086679145,0.2639417547104932,0.2463253433695538,0.24144015637794847,0.24986387319475867,0.22053718853197268,0.24379824799642802,0.1924072072378782,0.15987274129792683,0.15372849242310682,,,,0.5106944702266774,0.32598337042447745,0.4682966257889807,0.1481858281410522,0.14826196335477038,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,,,,,
,Gross Margin,0.6370908283718755,0.6448600142030171,0.6495136161126196,0.6801430045178044,0.6664180560177164,0.6940063924769528,0.7175106528591625,0.7323579630741519,0.7181833665535797,0.7234686321738316,0.7453906690274541,0.75,0.75,0.75,0.75,0.75,,,0.6460305674153827,0.6545488988708819,0.7043961531729116,0.75,0.76,0.7699999999999999,0.78,0.79,0.8,0.81,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,-77.772,-29.059999999999988,,,-25.954,8.59,,,,,,,,,-105.06,-157.333,-103.657,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,,,-3.6,-4.121,-2.834,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,,,,,-108.66,-161.454,-106.491,,,,,,,,,,,,
