Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,CFFO,,,,,,,,,1138.5000000000002,802.5000000000001,,,,0,0,0,0,0,0,0,535.5000000000002,,,,,,,,,,,,,2999.0,2900.0,2302.9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,-64.5,-83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Securities,,,,,,,,,-0.09999999999999964,-0.29999999999999893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Rights,,,,,,,,,-7.4,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale of Assets,,,,,,,,,5.1,7.700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,-66.9,-82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt & Other,,,,,,,,,-838.5,-627.3999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC Taxes,,,,,,,,,-9.9,-3.299999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CoCo,,,,,,,,,-15.5,-3.3999999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,-145.1,-145.50000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,-1009,-779.5999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,-11.4,-28.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,51.20000000000027,-87.99999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
