Main,Unnamed: 1,13 weeks,13 weeks.1,13 weeks.2,14 weeks,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,13 weeks.3,13 weeks.4,13 weeks.5,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,52 weeks,52 weeks.1,53 weeks,52 weeks.2,52 weeks.3,52 weeks.4,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,770.8000000000001,1775.6000000000001,1468.1,1319.9,1083.6,908.9,1042.1,1390.6,1310.1,1194.7,1209.5,1199.3000000000002,1082.9,,,,,,,,,,,,,,,,,,,,,,,,,499.4,635,,,1199.3000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,,102.1,68.5,83.4,141.1,103.4,99.6,125.3,153.9,119.2,75.6,88.3,91,58.9,,,,,,,,,,,,,,,,,,,,,,,,,141.9,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventory,,,,,,,,,,,,,,,,,570.9,596.4,1140.9,915,917.6,734.8,1131.3,682.9,759.5,676.9,1021.3,632.5,675.8,,,,,,,,,,,,,,,,,,,,,,,,,859.7,602.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,,,,,,,,232.1,235,236.3,238.2,240.3,275.9,283.1,96.3,65.8,58,57.7,51.4,62.1,,,,,,,,,,,,,,,,,,,,,,,,,120.9,224.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,,192.6,186.6,179.6,163.6,157.4,146.8,138.5,136.5,123.6,119.3,114.5,94.9,82.4,,,,,,,,,,,,,,,,,,,,,,,,,275.9,201.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,654.2,645.2,615.8,586.6,568.7,554.3,523.2,560.8,595.8,583,570.4,555.8,542,,,,,,,,,,,,,,,,,,,,,,,,,767,662.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,,,,,,,0,0,0,16.3,16.7,16.7,14.3,18.3,17.5,17.6,16.6,17.3,17.5,,,,,,,,,,,,,,,,,,,,,,,,,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,,,,,,,,,40,38.5,37.9,118.6,37.8,62.5,64.7,74.1,78.7,78.6,68.6,66.8,65.5,,,,,,,,,,,,,,,,,,,,,,,,,71.9,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,2562.7,3545.8,3762.0000000000005,3499.2999999999997,3125.5,2799.5,3322.5,3113.4,3070.2,2803.7,3146.8999999999996,2709.000000000001,2587.1000000000004,,,,,,,,,,,,,,,,,,,,,,,,,2819.7000000000003,2472.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,388.6,409.7,711.5,471,386.8,217.4,888.4,531.3,561.4,378,812.7,324,282.7,,,,,,,,,,,,,,,,,,,,,,,,,380.8,341.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,,,,,,,,,561.8,563.1,608.5,668.9,533.3,512.1,504.2,602.3,546.4,487.5,425.7,412,377.1,,,,,,,,,,,,,,,,,,,,,,,,,617.5,626.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,664.4,653.5,211.9,604.4,574.8,561.4,535.8,577.0999999999999,613.3,600.6,583.7,574.3,563,,,,,,,,,,,,,,,,,,,,,,,,,768.6999999999999,684.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,48.1,47.5,46.199999999999996,44.6,42.2,41,38.7,39.5,37.2,34.6,30.5,28.5,25.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,419.8,362.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLTL,,,,,,,,,,,,,,,,,20.3,20,429,107.9,137.7,124.1,110.4,40.9,40.3,35.8,31.5,31.6,31.3,,,,,,,,,,,,,,,,,,,,,,,,,21.4,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,,,,,,,879.5,1852,1754.9,1602.5,1450.7,1343.5,1245,1322.3,1271.6,1267.2,1262.8,1338.6,1307.3,,,,,,,,,,,,,,,,,,,,,,,,,611.5,436.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,,,,,,,2562.7,3545.8,3762,3499.3,3125.5,2799.5,3322.5,3113.3999999999996,3070.2,2803.7,3146.9,2709,2587.1,,,,,,,,,,,,,,,,,,,,,,,,,2819.7000000000003,2472.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,-66.19999999999987,-61.59999999999989,-105.39999999999986,-141.39999999999995,-157.89999999999998,-106.19999999999996,-94.69999999999983,40.10799999999985,-50.500000000000036,-3.2000000000000233,-3.100000000000045,70.40000000000018,-39.10000000000002,,,,,,,,,,,,,,,,,,,,,,,366.49999999999886,221.0999999999994,-78.80000000000024,-231.50000000000097,-374.5999999999997,-318.6919999999996,13.600000000000632,-8.548279999999849,47.1414299999999,66.2075388900001,93.12926646445221,62.43952650880219,86.03643420936206,60.41033881055483,82.1500213530511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,,,,,,,,,-66.8,-61.60000000000001,-105.39999999999999,-149.5,-157.9,-108.7,-94.70000000000002,48.2,-50.5,-2.799999999999997,-3.1000000000000014,63.099999999999994,-32.3,,,,,,,,,,,,,,,,,,,,,,,34.7,-673,-470.9,-215.3,-381.3,-313.1000000000001,6.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,,,,,,,,,18.7,17.599999999999998,16.90000000000001,24.000000000000004,17.1,15.3,15.100000000000001,14.2,13.7,12.600000000000001,11.3,18.600000000000005,16.8,,,,,,,,,,,,,,,,,,,,,,,151.9,126.9,96.2,80.7,77.2,61.7,56.2,,,,,,,,,,,Discount,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retirement of Debt,,,,,,,,,,,,,,,,,18.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,18.2,0,0,,,,,,,,,,,Maturity,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impairments,,,,,,,,,,,,,,,,,0.6,0,0,6.1000000000000005,0,0,2.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6.7,2.5,0,,,,,,,,,,,ROIC,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventory Reserves,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,59.1,57.3,0,0,0,0,0,,,,,,,,,,,NPV,4991.700743185103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,395.1,1015.9,385.6,15.5,0,0,0,,,,,,,,,,,Price,11.165018106933926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,,,,,,,,,5.7,8.8,6.199999999999998,9.8,11.1,7.8,13.300000000000002,7.899999999999997,7.9,-0.3000000000000007,6.4,8.200000000000001,0,,,,,,,,,,,,,,,,,,,,,,,25.6,10.7,8.9,7.9,30.5,40.1,22.200000000000003,,,,,,,,,,,Upside,-0.6043579692794498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,,,,,,,,0,0,0,-16.3,0,0,0,-2.6,0,0,0,-0.1,0,,,,,,,,,,,,,,,,,,,,,,,-107.9,-4.1,61.4,80.3,-16.3,-2.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gain of sale,,,,,,,,,,,,,,,,,0.4,0.09999999999999998,0,4.9,-6.9,0,-0.1999999999999993,-0.10000000000000053,0,0,-5,9.8,0,,,,,,,,,,,,,,,,,,,,,,,-6.4,-100.8,1.9,-27.3,0,-7.2,4.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Digital asset impairments,,,,,,,,,,,,,,,,,0,0,0,0,33.7,2.5,-2.3000000000000043,0.10000000000000142,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss on PP&E,,,,,,,,,,,,,,,,,0,0,1.9,0,0.4,1.2,3.4999999999999996,-2.599999999999999,0.6,0,0,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,8.5,2,9.1,0,5.4,2.5000000000000004,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,-0.5,-0.09999999999999998,-0.7999999999999998,-2.1,-4.8,-0.2,11.9,-5.700000000000002,0.2,-3.1,5.8,-2.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,-34.2,-36.2,4.1,0.9,-3.5,1.1999999999999984,0.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,,,,,,,,,4.9,23.700000000000003,-212.00000000000009,12.200000000000093,-196.60000000000002,-21.299999999999976,228.2,278.6,-74.6,-115.49999999999997,4.299999999999898,-109.99999999999989,-94.60000000000001,,,,,,,,,,,,,,,,,,,,,,,-91.49999999999999,-73.6,-510.79999999999984,180.99999999999997,-171.2,288.9,-295.79999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,-18.799999999999997,-11.500000000000014,-293.20000000000005,-110.8999999999999,-303.90000000000003,-103.39999999999998,177.29999999999998,338.00000000000006,-102.69999999999999,-109.09999999999997,19.699999999999896,-11.599999999999866,-110.4,,,,,,,,,,,,,,,,,,,,,,,434.9000000000001,325.0999999999999,-414.49999999999983,123.69999999999996,-434.30000000000007,107.99999999999989,-203.69999999999996,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,-14.7,-13.5,-12.500000000000004,-21.3,76.9,-20.5,-100.7,-11.599999999999994,-9.1,-10.1,5.099999999999998,-7.6999999999999975,-4.9,,,,,,,,,,,,,,,,,,,,,,,113.4,93.7,78.5,60,62,-55.89999999999999,-21.799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Digital Asset Sale,,,,,,,,,,,,,,,,,0,0,0,0,-10.8,0.4,87.8,4.500000000000009,1.3,1.4999999999999998,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,0,-0.1,-0.30000000000000004,-2.4,0,0,-236.7,-12,1.0999999999999885,-43.59999999999999,0,28.30000000000001,194.70000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,,,,,,,,,-14.7,-13.6,-12.800000000000004,-23.7,66.10000000000001,-20.1,-249.6,-19.099999999999987,-6.700000000000012,-52.19999999999999,5.099999999999998,20.600000000000016,189.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance of Common,,,,,,,,,,,,,,,,,551.7,1121.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,-332.5,0,0,-2.8999999999999773,0,0,0,-3.9,-2.7,-2.7,-2.5999999999999996,-2.6999999999999993,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stock Awards,,,,,,,,,,,,,,,,,-49.9,-86.69999999999999,0,-0.20000000000002416,-1.1,-1.9,-0.2999999999999998,-0.7000000000000002,-0.1,0,0,-0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,,,,,,,,,169.30000000000004,1034.3999999999999,0,-3.1000000000000014,-1.1,-1.9,-0.2999999999999998,-4.6,-2.8000000000000003,-2.7,-2.5999999999999996,-3.499999999999999,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,,,,,,,,,0,-4.5,-1,-11.100000000000001,2.6,-1.2,-24.900000000000002,22,-4,-0.5999999999999996,-7.6,3.5999999999999996,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,,,,,,,,,135.80000000000007,1004.7999999999998,-307.00000000000006,-148.7999999999999,-236.30000000000004,-126.59999999999998,-97.50000000000003,336.30000000000007,-116.2,-164.59999999999997,14.599999999999895,9.10000000000015,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,,,-33.5,-25.000000000000014,-305.70000000000005,-132.1999999999999,-227.00000000000003,-123.89999999999998,76.59999999999998,326.4000000000001,-111.79999999999998,-119.19999999999996,24.799999999999894,-19.299999999999862,-115.30000000000001,,,,,,,,,,,,,,,,,,,,,,,321.5000000000001,231.39999999999992,-492.99999999999983,63.69999999999996,-496.30000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hardware ,,,,,,,,,,,,,,,,,,,,163.1,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software,,,,,,,,,,,,,,,,,,,,590.3,525.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-owned,,,,,,,,,,,,,,,,,,,,977.1,810.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accessories,,,,,,,,,,,,,,,,,,,,255,312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Digital,,,,,,,,,,,,,,,,,,,,162.4,171.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collectibles,,,,,,,,,,,,,,,,,,,,208.2,233.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,128.8,104.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,,,,,,,,,,,,,,,,2484.9,2308.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nintendo % of revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U&I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ubisoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rev/Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.1499999999999,,,659.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employees/Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4916943521594686,,,1.918925401775006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
