Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,CoinSwitch Kuber,Series A,2021-01-13 00:00:00,$15M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Commonwealth Labs,,2022-05-25 00:00:00,$20M,,,,,,,,,,,,,,,,,,,,,Polychain
,Commonwealth Labs,,2021-05-18 00:00:00,$3.2M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Community Gaming,Series A,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Compound,Series A,2019-11-14 00:00:00,$25M,,,,,,,,,,,,,,,,,,Paradigm,,,Polychain
,Compound,Seed,2018-05-16 00:00:00,$8.2M,,,,,,,,,,,,,,,,,,,,,Polychain
,Connext,Seed,2021-03-19 00:00:00,$2.2M,,,,,,,,,,,,,,,,,,,,,Polychain
,ConsenSys,Series C,2021-11-17 00:00:00,$200M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Cosmos Network,Seed,2019-01-01 00:00:00,—,,,,,,,,,,,,,,,,,,Paradigm,,,
,Cozy Finance,Seed,2020-09-03 00:00:00,$2M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,CreatorDao,,,,,,,,,,,,,,,,,,,,,,,,
,Credora (formerly X-Margin),Series A,2021-09-13 00:00:00,$8M,,,,,,,,,,,,,,,,,,,,,Polychain
,Credora (formerly X-Margin),Seed,2019-08-13 00:00:00,$2.1M,,,,,,,,,,,,,,,,,,,,,Polychain
,Crusoe Energy Systems,Series C,2022-04-21 00:00:00,$350M,,,,,,,,,,,,,,,,,,,,,Polychain
,Crusoe Energy Systems,Series B,2021-04-26 00:00:00,$128M,,,,,,,,,,,,,,,,,,,,,Polychain
,Crusoe Energy Systems,,2019-12-06 00:00:00,$30M,,,,,,,,,,,,,,,,,,,,,Polychain
,Crusoe Energy Systems,Seed,2019-05-03 00:00:00,$4.5M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,CyberConnect,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Cypherium,,2018-09-01 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Dapper Labs,Series D,,,,,,,,,,,,,,,,,a16z,,,,,,
,DeHorizon,Seed,2021-10-11 00:00:00,$8.5M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Delphia,Series A,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,DerivaDEX,Seed,2020-07-29 00:00:00,$2.7M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,Dework,Seed,2022-06-01 00:00:00,$5M,,,,,,,,,,,,,,,,,,Paradigm,,,
,DFINITY,,2018-08-28 00:00:00,$102M,,,,,,,,,,,,,,,,,,,,,Polychain
,DFINITY,,2018-02-07 00:00:00,$61M,,,,,,,,,,,,,,,,,,,,,Polychain
,Dflow,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,DFX Finance,Seed,2021-02-24 00:00:00,$5M,,,,,,,,,,,,,,,,,,,,,Polychain
,Dharma Labs,Series A,2019-02-05 00:00:00,$7M,,,,,,,,,,,,,,,,,,,,,Polychain
,Dharma Labs,Seed,2017-08-21 00:00:00,$120K,,,,,,,,,,,,,,,,,,,,,Polychain
,Dialect,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Diem,Seed,2020-03-20 00:00:00,—,,,,,,,,,,,,,,,,,,Paradigm,,,
,DIRT Protocol,Seed,2018-07-11 00:00:00,$3M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,DMarket,ICO,2017-12-05 00:00:00,$19M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,doc.ai,,2017-09-07 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,DODO Exchange,,2020-10-13 00:00:00,$5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,DSCVR,Seed,2022-07-25 00:00:00,$9M,,,,,,,,,,,,,,,,,,,,,Polychain
,Dune Analytics,Series B,2022-02-02 00:00:00,$69.4M,,,,,,Multicoin,,,,,,,,,,,Dragonfly,,,,
,Dune Analytics,Series A,2021-08-12 00:00:00,$8M,,,,,,Multicoin,,,,,,,,,,,Dragonfly,,,,
,Dune Analytics,Seed,2020-09-23 00:00:00,$2M,,,,,,Multicoin,,,,,,,,,,,Dragonfly,,Digital Currency Group,,
,Dyad,Seed,2021-05-07 00:00:00,$3M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,dYdX,Series C,2021-06-15 00:00:00,$65M,,,,,,,,,,,,,,,a16z,,,Paradigm,,,Polychain
,dYdX,Series B,2021-01-26 00:00:00,$10M,,,,,,,,,,,,,,,,,,,,,Polychain
,dYdX,Series A,2018-10-19 00:00:00,$10M,,,,,,,,,,,,,,,,,Dragonfly,,,,Polychain
,dYdX,Seed,2017-12-19 00:00:00,$2M,,,,,,,,,,,,,,,,,,,,,Polychain
,Earn.com,Series B,2015-03-10 00:00:00,$116M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Eco,Series B,2021-07-27 00:00:00,$60M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Eco,Seed,2020-01-01 00:00:00,$8.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Element Finance,Series A,2021-10-19 00:00:00,$32M,,,,,,,,,,,,,,,,,,,,,Polychain
,Enigma,,2018-10-10 00:00:00,—,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Enso Finance,,2021-04-13 00:00:00,$5M,,,,,,,,,,,,,,,,,,,,,Polychain
,Entropy,Seed,2022-06-08 00:00:00,$25M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Entropy,Pre Seed,2021-12-28 00:00:00,$2M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,ErisX,Series B,2019-04-30 00:00:00,$20M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,,,,
,ErisX,Series B,2018-12-04 00:00:00,$27.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Espresso Systems,Seed,2020-11-30 00:00:00,$3.1M,,,,,,,,,,,,,,,,,,,,,Polychain
,Ethlas,Seed,2022-04-01 00:00:00,$6M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Euler,Venture,,,,,,,,,Jump Crypto,,,,,,,,,,,,,,
,Euler,Series A,2021-08-25 00:00:00,$8M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Exotic Markets,ICO,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Exowatt,Seed,2024-04-22 00:00:00,20,"a16z, Atomic, Sam Altman",,,,,,,,,,,,,,a16z,Atomic,,,,,
,FanTiger,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Faraway,Series A,2021-11-04 00:00:00,21,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Faraway,Seed,2021-08-01 00:00:00,8,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Fast Break Labs,Seed,2022-02-23 00:00:00,6,,,,,,,,,Pantera Capital,,,,,,,,,,,,
