Main,Unnamed: 1,https://arxiv.org/pdf/2309.09493,Unnamed: 3
,2024-02-15 00:00:00,Multilingual Speech Recognition with a Single End-to-End Model,
,,Authors,Shubham Toshinwal & Google
,,Citations,
,,Link,https://arxiv.org/pdf/1711.01694.pdf
,,,
,2018-02-13 00:00:00,Attention-based end-to-end speech recognition on Voice Search,
,,Authors,Shan et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1707.07167.pdf
,,,
,2018-01-30 00:00:00,Accelerating Recurrent Neural Network Language Model Based Online Speech Recognition System,
,,Authors,Samsung: Lee et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1801.09866.pdf
,,,
,2017-12-16 00:00:00,Natural TTS Synthesis by Conditioning Wavenet on MEL Spectrogram Predictions (Tacotron 2),
,,Authors,"Google: Jonathan Shen, Ruoming Pang, Ron J. Weiss, Mike Schuster, Navdeep Jaitly, Zongheng Yang, Zhifeng Chen, Yu Zhang, Yuxuan Wang, RJ Skerry-Ryan, Rif A. Saurous, Yannis Agiomyrgiannakis, Yonghui Wu"
,,Citations,2831
,,Link,https://arxiv.org/abs/1712.05884
,,,
,2017-11-06 00:00:00,Towards Language-Universal End-to-End Speech Recognition,
,,Authors,Kim et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1711.02207.pdf
,,,
,2017-11-05 00:00:00,Robust Speech Recognition Using GANs,
,,Authors,Baidu: Sriram et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1711.01567.pdf
,,,
,2017-10-28 00:00:00,Generalized End-to-End Loss for Speaker Verification,
,,Authors,Google: Li Wan et al.
,,Citations,
,,Link,https://arxiv.org/abs/1710.10467
,,,
,2017-10-28 00:00:00,Speaker diarization with LSTM,
,,Authors,Google: Quan Wang et al.
,,Citations,
,,Link,https://arxiv.org/abs/1710.10468
,,,
,2017-08-12 00:00:00,Gram-CTC: Automatic Unit Selection and Target Decomposition for Sequence Labeling,
,,Authors,Baidu: Liu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1703.00096.pdf
,,,
,2017-07-19 00:00:00,Dynamic Layer Normalization for Adaptive Neural Acoustic Modeling in Speech Recognition,
,,Authors,Kim et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1707.06065v1.pdf
,,,
,2017-06-16 00:00:00,An online sequence-to-sequence model for noisy speech recognition,
,,Authors,Chung-Cheng Chiu
,,Citations,
,,Link,https://arxiv.org/pdf/1706.06428.pdf
,,,
,2017-06-08 00:00:00,Optimizing Expected Word Error Rate via Sampling for Speech Recognition,
,,Authors,Google: Matt Shannon
,,Citations,
,,Link,https://arxiv.org/pdf/1706.02776.pdf
,,,
,2017-06-05 00:00:00,Multitask Learning with CTC and Segmental CRF for Speech Recognition,
,,Authors,Lu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1702.06378.pdf
,,,
,2017-06-05 00:00:00,Residual LSTM: Design of a Deep Recurrent Architecture for Distant Speech Recognition,
,,Authors,Kim et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1701.03360.pdf
,,,
,2017-05-11 00:00:00,Reducing Bias in Production Speech Models,
,,Authors,Baidu: Battenberg et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1705.04400.pdf
,,,
,2017-05-05 00:00:00,Deep Speaker: an End-to-End Neural Speaker Embedding System,
,,Authors,Baidu: Chao Li et al.
,,Citations,
,,Link,https://arxiv.org/abs/1705.02304
,,,
,2017-03-23 00:00:00,A Network Of Deep Neural Networks for Distant Speech Recognition,
,,Authors,Ravanelli et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1703.08002.pdf
,,,
,2017-03-21 00:00:00,Deep LSTM for Large Vocabulary Continuous Speech Recognition,
,,Authors,Alibaba: Tian et al.
,,Citations,
,,Link,
,,,
,2017-03-14 00:00:00,Multichannel End-to-end Speech Recognition,
,,Authors,Baidu: Chao Li et al.
,,Citations,
,,Link,https://arxiv.org/abs/1705.02304
,,,
,2017-02-24 00:00:00,Residual Convolutional CTC Networks for ASR,
,,Authors,Tencent: Wang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1702.07793.pdf
,,,
,2017,Multichannel Signal Processing with DNNs for ASR,
,,Authors,Sainath et al.
,,Citations,
,,Link,https://ieeexplore.ieee.org/document/7859320
,,,
,2017,Joint CTC-Attention Based End-to-End Speech Recognition Using Multi-Task Learning,
,,Authors,Kim et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1609.06773.pdf
,,,
,2017,ESE: Efficient Speech Recognition Engine with Sparse LSTM on FPGA,
,,Authors,Han et al.
,,Citations,
,,Link,https://dl.acm.org/doi/10.1145/3020078.3021745
,,,
,2017,Char2Wav: End-To-End Speech Synthesis,
,,Authors,"Mila: Jose Sotelo, et al."
,,Citations,
,,Link,https://mila.quebec/wp-content/uploads/2017/02/end-end-speech.pdf
,,,
,2017,An Unsupervised Speaker Clustering Technique based on SOM and I-vectors for Speech Recognition Systems,
,,Authors,Ahmed et al.
,,Citations,
,,Link,https://www.semanticscholar.org/paper/An-Unsupervised-Speaker-Clustering-Technique-based-Ahmed-Elaraby/f5be2cb9d37e5e54c5d20644ff7025cdee14995f?p2df
,,,
,2017,Deep Neural Network Embeddings for Text-Independent Speaker Verification,
,,Authors,Snyder et al.
,,Citations,
,,Link,https://www.danielpovey.com/files/2017_interspeech_embeddings.pdf
,,,
,2017,English Conversational Telephone Speech Recognition by Humans and Machines,
,,Authors,IBM: Saon et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1703.02136.pdf
,,,
,2017,Advances in Joint CTC-Attention based End-to-End Speech Recognition with a Deep CNN Encoder and RNN-LM,
,,Authors,Hori et al.
,,Citations,
,,Link,https://github.com/zzw922cn/awesome-speech-recognition-speech-synthesis-papers?tab=readme-ov-file
,,,
,2017,"Attentive CNN based Speech Emotion Recognition: A Study on the Impact of Input Features, Signal Length and Acted Speech",
,,Authors,Neumann et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1706.00612.pdf
,,,
,2017,An enhanced ASR system for Arabic,
,,Authors,Menacer et al.
,,Citations,
,,Link,https://www.semanticscholar.org/paper/An-enhanced-automatic-speech-recognition-system-for-Menacer-Mella/f4aed9743c034a98493002c128d4662217f54e17?p2df
,,,
,2017,Non-parallel voice conversion using i-vector PLDA: towards unifying speaker verification and transformation,
,,Authors,Kinnunen et al.
,,Citations,28
,,Link,https://ieeexplore.ieee.org/document/7953215
,,,
,2017,Direct Acoustics-to-Word Models for English Conversational Speech Recognition,
,,Authors,IBM: Audhkhasi et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1703.07754.pdf
,,,
,2017,Advances in All-Neural Speech Recognition,
,,Authors,Microsoft: Zweig et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1609.05935.pdf
,,,
,2017,Advances in Very Deep Convolutional Neural Networks for LVCSR,
,,Authors,Sercu et al.
,,Citations,44
,,Link,https://www.semanticscholar.org/paper/Advances-in-Very-Deep-Convolutional-Neural-Networks-Sercu-Goel/76b1791f2d2776c4d3dd671b7e4f2a9fb3575703?p2df
,,,
,2014,Increasing DNN Acoustic Model Size for Large Vocabulary Continuous Speech Recognition,
,,Authors,Maas et al.
,,Citations,
,,Link,https://www.semanticscholar.org/paper/Increasing-Deep-Neural-Network-Acoustic-Model-Size-Maas-Hannun/ff7b9fbbbdc78d874fa93134d643a5a0295f648f?p2df
,,,
,2017,Latent Sequence Decompositions,
,,Authors,Chan et al.
,,Citations,
,,Link,https://arxiv.org/pdf/1610.03035.pdf
,,,
,2016-12-08 00:00:00,Towards better decoding and language model integration in sequence to sequence models,
,,Authors,"Google: Jan Chorowski, Navdeep Jaitly"
,,Citations,
,,Link,https://arxiv.org/pdf/1612.02695.pdf
,,,
