Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,1944.4270000000006,2566.5249999999996,,,,,,,,,,,,,,,,
,Funding Payments,,,,,,,,,,,,,,,,,,,,,,,,,,200.084,177.106,,,,,,,,,,,,,,,,
,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,127.295,145.157,,,,,,,,,,,,,,,,
,Investments/Other,,,,,,,,,,,,,,,,,,,,,,,,,,43.608999999999995,8.837000000000002,,,,,,,,,,,,,,,,
,CFFO,,,,,,,1527.579,,,,1574.049,,,,,,,,,,,,,,,1573.4390000000005,2235.4249999999997,,,,,,,,,,,,,,,,
,S/O,,,,,,,,,,,,,,,,,,,,,,,,,,607.176,607.224,,,,,,,,,,,,,,,,
,CFPS,,,,,,,,,,,,,,,,,,,,,,,,,,2.591405128002425,3.6813844643821714,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,2472.295,,,,,,,,,,,,,,,,
,Royalty Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,14184.425,,,,,,,,,,,,,,,,
,Royalty Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,36.596999999999994,,,,,,,,,,,,,,,,
,OA,,,,,,,,,,,,,,,,,,,,,,,,,,,120.149,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,16813.466000000004,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCI payable,,,,,,,,,,,,,,,,,,,,,,,,,,,94.803,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,7.906,,,,,,,,,,,,,,,,
,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,54.162,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,7116.322,,,,,,,,,,,,,,,,
,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,
,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,7288.093,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported CFFO,,,,,,,,,,,,,,1641.654,,,,1322.847,,,,,,,2034.629,2017.536,2143.98,,,,,,,,,,,,,,,,
,Acquisitions,,,,,,,,,,,,,,,,,,,,,,,,,2182.246,2191.502,1741.64,,,,,,,,,,,,,,,,
,Legacy NCI,,,,,,,,,,,,,,,,,,,,,,,,,543.952,479.604,441.963,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,,,,,,,,,,,,,,,,,112.49,285.184,333.322,,,,,,,,,,,,,,,,
